term,E,P,A,E2,P2,A2
alarm,-0.36,1.43,2.22,-0.36,1.43,2.22
alert,2.20,2.00,2.02,2.20,2.00,2.02
alienate,-2.79,1.01,-0.63,-2.79,1.01,-0.63
allow,1.19,1.41,-0.04,1.19,1.41,-0.04
amaze,2.59,2.71,1.62,2.59,2.71,1.62
amuse,2.51,2.01,1.79,2.51,2.01,1.79
analyze,0.53,1.12,-0.64,0.53,1.12,-0.64
anger,-2.22,0.96,1.65,-2.22,0.96,1.65
annihilate,-2.92,2.17,1.91,-2.92,2.17,1.91
annoy,-1.95,0.51,1.63,-1.95,0.51,1.63
answer,1.84,1.16,0.36,1.84,1.16,0.36
antagonize,-2.80,0.77,1.55,-2.80,0.77,1.55
apologize_to,2.70,2.35,-0.92,2.70,2.35,-0.92
appeal_to,1.95,1.79,0.05,1.95,1.79,0.05
appease,0.61,0.23,-0.36,0.61,0.23,-0.36
applaud,2.97,2.40,2.50,2.97,2.40,2.50
appoint,1.70,2.32,0.31,1.70,2.32,0.31
appreciate,3.38,2.62,-0.16,3.38,2.62,-0.16
apprehend,0.16,1.90,1.66,0.16,1.90,1.66
approach,1.51,1.44,0.60,1.51,1.44,0.60
approve_of,2.12,1.93,-0.24,2.12,1.93,-0.24
argue_with,-1.57,1.18,2.22,-1.57,1.18,2.22
arm,-0.65,2.12,1.27,-0.65,2.12,1.27
arouse,1.92,1.99,0.82,1.92,1.99,0.82
arrest,-0.07,2.36,1.92,-0.07,2.36,1.92
ask,1.87,1.27,0.05,1.87,1.27,0.05
ask_about,1.62,0.87,0.06,1.62,0.87,0.06
ask_about_something,1.65,1.30,0.34,1.65,1.30,0.34
ask_out,2.35,1.81,0.44,2.35,1.81,0.44
assail,-1.44,0.84,1.39,-1.44,0.84,1.39
assassinate,-3.34,2.45,0.90,-3.34,2.45,0.90
assault,-3.46,1.45,2.32,-3.46,1.45,2.32
assess,0.39,1.03,-0.60,0.39,1.03,-0.60
assist,3.12,2.36,0.45,3.12,2.36,0.45
associate_with,1.78,1.31,0.53,1.78,1.31,0.53
assure,2.66,2.16,-0.37,2.66,2.16,-0.37
astonish,1.66,2.21,1.51,1.66,2.21,1.51
astound,1.67,2.05,1.41,1.67,2.05,1.41
attack,-3.10,1.43,2.35,-3.10,1.43,2.35
attend_to,2.51,1.79,0.26,2.51,1.79,0.26
attract,2.48,2.63,0.63,2.48,2.63,0.63
authorize,1.07,2.11,0.39,1.07,2.11,0.39
avenge,-0.23,1.82,0.99,-0.23,1.82,0.99
avoid,-1.41,-0.31,-0.62,-1.41,-0.31,-0.62
awaken,-0.66,1.30,1.23,-0.66,1.30,1.23
awe,2.04,1.82,0.19,2.04,1.82,0.19
babble_to,-0.89,-0.66,1.88,-0.89,-0.66,1.88
baby,-1.20,-0.46,-0.92,-1.20,-0.46,-0.92
back,2.07,1.97,0.74,2.07,1.97,0.74
backstab,-3.37,0.79,0.44,-3.37,0.79,0.44
badger,-1.92,-0.12,1.92,-1.92,-0.12,1.92
bait,-1.85,0.83,-0.32,-1.85,0.83,-0.32
ban,-1.59,2.09,0.89,-1.59,2.09,0.89
banish,-2.20,1.89,1.01,-2.20,1.89,1.01
bankrupt,-3.28,1.06,0.14,-3.28,1.06,0.14
banter_with,0.62,0.70,1.80,0.62,0.70,1.80
baptize,1.72,1.95,0.25,1.72,1.95,0.25
bargain_with,1.16,1.13,0.82,1.16,1.13,0.82
barricade,-1.87,1.47,0.76,-1.87,1.47,0.76
barter_with,1.19,1.31,1.46,1.19,1.31,1.46
bash,-2.71,0.15,1.53,-2.71,0.15,1.53
bathe,1.42,0.54,-0.71,1.42,0.54,-0.71
bawl_out,-1.23,0.31,1.41,-1.23,0.31,1.41
be_intimate_with,2.49,2.40,-0.28,2.49,2.40,-0.28
be_sarcastic_toward,-0.71,0.47,1.09,-0.71,0.47,1.09
beam_at,1.44,1.34,0.11,1.44,1.34,0.11
beat,-1.80,1.55,1.84,-1.80,1.55,1.84
beat_up,-3.16,1.36,2.41,-3.16,1.36,2.41
beckon_to,0.28,0.68,0.39,0.28,0.68,0.39
befriend,2.36,2.17,0.16,2.36,2.17,0.16
befuddle,-1.20,0.33,0.76,-1.20,0.33,0.76
beg,-1.58,-2.02,0.71,-1.58,-2.02,0.71
begrudge,-1.68,0.32,-0.44,-1.68,0.32,-0.44
believe,1.81,1.70,-0.01,1.81,1.70,-0.01
belittle,-3.37,0.01,-0.12,-3.37,0.01,-0.12
bellow_at,-1.26,0.79,1.96,-1.26,0.79,1.96
bend,-0.91,1.16,0.00,-0.91,1.16,0.00
bequeath_to,0.67,1.11,-0.12,0.67,1.11,-0.12
berate,-2.27,0.59,1.57,-2.27,0.59,1.57
beseech,-0.69,0.49,0.47,-0.69,0.49,0.47
bestow_something_to,2.07,2.11,0.52,2.07,2.11,0.52
betray,-3.34,0.53,0.26,-3.34,0.53,0.26
bewilder,-0.34,0.68,0.65,-0.34,0.68,0.65
bewitch,-1.17,1.34,0.46,-1.17,1.34,0.46
bias,-1.78,0.08,0.09,-1.78,0.08,0.09
bicker_with,-1.85,0.30,2.11,-1.85,0.30,2.11
bill,-0.31,1.26,-0.18,-0.31,1.26,-0.18
bind,-1.57,1.51,0.37,-1.57,1.51,0.37
bite,-2.48,0.78,1.47,-2.48,0.78,1.47
blabber_to,-1.26,-0.39,1.79,-1.26,-0.39,1.79
blackmail,-3.13,1.35,-0.22,-3.13,1.35,-0.22
blame,-2.03,-0.48,0.93,-2.03,-0.48,0.93
bless,2.35,1.93,-0.10,2.35,1.93,-0.10
blind,-3.24,1.40,0.64,-3.24,1.40,0.64
block,-1.06,1.35,0.52,-1.06,1.35,0.52
bluff,-1.03,0.90,-0.11,-1.03,0.90,-0.11
borrow_money_from,-0.72,-0.74,-0.50,-0.72,-0.74,-0.50
boss,-1.12,1.57,1.48,-1.12,1.57,1.48
bother,-2.17,0.32,1.84,-2.17,0.32,1.84
bow_to,1.13,0.17,-1.31,1.13,0.17,-1.31
box,-1.08,1.43,1.89,-1.08,1.43,1.89
brawl_with,-2.00,0.71,2.64,-2.00,0.71,2.64
break_up_with,-1.38,1.25,0.60,-1.38,1.25,0.60
bribe,-1.54,0.87,0.26,-1.54,0.87,0.26
brief,1.18,1.08,0.44,1.18,1.08,0.44
browbeat,-1.96,0.89,0.85,-1.96,0.89,0.85
brush_off,-1.55,0.80,-0.38,-1.55,0.80,-0.38
brutalize,-3.64,0.85,1.73,-3.64,0.85,1.73
bug,-1.80,0.09,1.54,-1.80,0.09,1.54
bully,-3.52,0.65,1.56,-3.52,0.65,1.56
bury,-0.52,0.99,-1.56,-0.52,0.99,-1.56
butter_up,0.01,1.01,0.28,0.01,1.01,0.28
cajole,-0.60,0.60,0.89,-0.60,0.60,0.89
call,1.49,1.10,0.97,1.49,1.10,0.97
calm,2.84,2.08,-1.99,2.84,2.08,-1.99
captivate,2.27,2.92,1.48,2.27,2.92,1.48
capture,-1.10,2.06,1.32,-1.10,2.06,1.32
care_for,3.39,3.00,-0.36,3.39,3.00,-0.36
caress,2.32,1.51,-1.77,2.32,1.51,-1.77
catch,1.01,1.63,1.12,1.01,1.63,1.12
caution,2.04,1.32,0.56,2.04,1.32,0.56
cave_in_to,-1.24,-1.34,-0.70,-1.24,-1.34,-0.70
censure,-0.90,0.81,-0.22,-0.90,0.81,-0.22
challenge,1.29,2.04,1.50,1.29,2.04,1.50
charge,-0.81,1.32,1.20,-0.81,1.32,1.20
charm,1.91,2.00,0.49,1.91,2.00,0.49
chase,-0.79,0.78,1.94,-0.79,0.78,1.94
chastise,-1.38,0.76,1.02,-1.38,0.76,1.02
chat_with,2.18,1.13,1.00,2.18,1.13,1.00
chatter_to,0.60,0.14,1.50,0.60,0.14,1.50
cheat,-3.29,0.15,-0.14,-3.29,0.15,-0.14
cheat_on,-3.64,0.40,0.08,-3.64,0.40,0.08
cheer,3.16,2.61,2.28,3.16,2.61,2.28
cheer_up,3.28,2.69,1.03,3.28,2.69,1.03
chew_out,-2.08,1.20,2.32,-2.08,1.20,2.32
chide,-0.93,0.46,0.62,-0.93,0.46,0.62
choke,-3.45,1.92,1.65,-3.45,1.92,1.65
choose,2.11,2.44,-0.09,2.11,2.44,-0.09
cling_to,-0.84,-1.39,-0.13,-0.84,-1.39,-0.13
club,-2.85,1.58,1.93,-2.85,1.58,1.93
coach,2.48,2.18,1.21,2.48,2.18,1.21
coax,-0.13,0.99,-0.11,-0.13,0.99,-0.11
coddle,-0.20,0.36,-0.43,-0.20,0.36,-0.43
coerce,-1.04,1.64,0.52,-1.04,1.64,0.52
collaborate_with,2.30,2.07,0.77,2.30,2.07,0.77
combat,-1.32,1.30,1.94,-1.32,1.30,1.94
comfort,3.38,2.60,-1.39,3.38,2.60,-1.39
command,-0.43,2.22,1.68,-0.43,2.22,1.68
commend,2.31,1.96,0.47,2.31,1.96,0.47
compensate,2.43,1.45,0.00,2.43,1.45,0.00
compete_with,1.27,1.47,1.78,1.27,1.47,1.78
complain_about,-1.69,-0.86,1.03,-1.69,-0.86,1.03
complain_to,-0.93,-0.46,1.33,-0.93,-0.46,1.33
compliment,3.02,2.55,0.59,3.02,2.55,0.59
comply_with,1.15,0.14,-0.51,1.15,0.14,-0.51
compromise_with,2.08,1.97,-0.18,2.08,1.97,-0.18
con,-2.75,0.91,0.70,-2.75,0.91,0.70
concede_to,-0.44,-0.66,-0.98,-0.44,-0.66,-0.98
concur_with,1.61,1.21,-0.04,1.61,1.21,-0.04
condemn,-2.62,1.42,0.93,-2.62,1.42,0.93
confer_with,1.58,1.40,-0.13,1.58,1.40,-0.13
confess_to,1.69,1.69,0.03,1.69,1.69,0.03
confide_in,1.96,1.65,-1.26,1.96,1.65,-1.26
confine,-2.18,1.05,-0.16,-2.18,1.05,-0.16
confound,-0.32,1.00,0.40,-0.32,1.00,0.40
confront,0.39,1.99,1.28,0.39,1.99,1.28
confuse,-1.26,0.50,0.07,-1.26,0.50,0.07
congratulate,2.88,2.13,1.51,2.88,2.13,1.51
consider,2.05,1.49,-0.24,2.05,1.49,-0.24
console,2.72,2.15,-1.12,2.72,2.15,-1.12
conspire_against,-2.19,1.17,-0.26,-2.19,1.17,-0.26
conspire_with,-0.53,1.24,0.08,-0.53,1.24,0.08
constrain,-1.91,1.47,0.65,-1.91,1.47,0.65
consult,1.77,1.16,0.04,1.77,1.16,0.04
contact,1.53,1.31,0.74,1.53,1.31,0.74
contemplate,0.96,1.10,-1.22,0.96,1.10,-1.22
contradict,-0.31,0.67,0.71,-0.31,0.67,0.71
control,-2.01,2.32,0.25,-2.01,2.32,0.25
converse_with,2.19,1.67,0.78,2.19,1.67,0.78
convert,0.13,1.94,-0.13,0.13,1.94,-0.13
convict,-0.47,1.97,0.66,-0.47,1.97,0.66
convince,1.11,2.14,0.58,1.11,2.14,0.58
cooperate_with,2.85,1.81,-0.32,2.85,1.81,-0.32
corner,-1.73,1.61,0.95,-1.73,1.61,0.95
correct,0.49,1.02,0.85,0.49,1.02,0.85
corrupt,-3.03,1.80,-0.07,-3.03,1.80,-0.07
counsel,2.62,2.23,-0.94,2.62,2.23,-0.94
court,1.93,1.62,-0.30,1.93,1.62,-0.30
cripple,-3.31,1.40,0.93,-3.31,1.40,0.93
criticize,-1.12,0.73,1.15,-1.12,0.73,1.15
cross_examine,0.11,1.28,0.76,0.11,1.28,0.76
cry_for,0.42,0.70,0.13,0.42,0.70,0.13
cuddle,3.17,1.75,-1.80,3.17,1.75,-1.80
cue,1.19,1.44,0.16,1.19,1.44,0.16
cure,3.71,3.63,0.07,3.71,3.63,0.07
curry_favor_from,0.28,0.15,0.37,0.28,0.15,0.37
curse,-2.51,0.22,1.31,-2.51,0.22,1.31
curtsey_to,1.52,0.12,-0.90,1.52,0.12,-0.90
cut,-3.07,1.62,0.60,-3.07,1.62,0.60
cut_off_relations_with,-0.92,1.45,0.00,-0.92,1.45,0.00
cut_someone_down_to_size,-1.30,1.14,1.32,-1.30,1.14,1.32
cut_the_pay_of,-2.29,1.97,0.14,-2.29,1.97,0.14
damn,-2.68,0.79,1.24,-2.68,0.79,1.24
dance_with,2.71,1.48,0.95,2.71,1.48,0.95
dare,-0.53,0.86,1.24,-0.53,0.86,1.24
date,2.24,1.53,0.75,2.24,1.53,0.75
dazzle,2.31,2.06,1.57,2.31,2.06,1.57
deafen,-2.47,0.99,1.58,-2.47,0.99,1.58
debase,-1.72,0.34,0.22,-1.72,0.34,0.22
debate_with,1.15,1.73,1.81,1.15,1.73,1.81
debrief,1.39,1.52,0.07,1.39,1.52,0.07
deceive,-2.86,0.43,-0.27,-2.86,0.43,-0.27
decorate,1.28,1.11,0.63,1.28,1.11,0.63
defame,-1.86,0.80,0.99,-1.86,0.80,0.99
defeat,0.82,2.08,1.38,0.82,2.08,1.38
defend,2.74,2.86,1.64,2.74,2.86,1.64
defer_to,-0.16,0.43,-0.44,-0.16,0.43,-0.44
defile,-3.13,0.46,1.09,-3.13,0.46,1.09
deflate,-2.26,1.08,0.53,-2.26,1.08,0.53
defy,-1.20,1.24,0.83,-1.20,1.24,0.83
degrade,-3.52,0.75,0.18,-3.52,0.75,0.18
delay,-1.93,0.47,-0.12,-1.93,0.47,-0.12
delay_payment_to,-2.72,0.05,-0.97,-2.72,0.05,-0.97
delight,2.90,2.25,0.93,2.90,2.25,0.93
delude,-1.71,1.10,-0.48,-1.71,1.10,-0.48
demand,-1.34,1.46,1.57,-1.34,1.46,1.57
demean,-2.63,0.50,1.20,-2.63,0.50,1.20
demoralize,-3.18,1.00,0.66,-3.18,1.00,0.66
demote,-1.34,1.27,0.43,-1.34,1.27,0.43
denigrate,-2.07,0.60,0.74,-2.07,0.60,0.74
denounce,-1.87,1.29,1.08,-1.87,1.29,1.08
deny,-0.87,1.51,0.10,-0.87,1.51,0.10
deport,-1.41,2.02,1.05,-1.41,2.02,1.05
deprave,-2.41,0.64,-0.05,-2.41,0.64,-0.05
deprecate,-2.30,0.18,0.54,-2.30,0.18,0.54
depress,-3.39,0.71,-0.93,-3.39,0.71,-0.93
deprive,-2.39,1.23,-0.34,-2.39,1.23,-0.34
deride,-1.58,0.05,0.67,-1.58,0.05,0.67
desert,-2.86,0.48,-0.07,-2.86,0.48,-0.07
desire,1.20,0.80,-0.08,1.20,0.80,-0.08
desire_sexually,1.58,1.51,1.28,1.58,1.51,1.28
despise,-2.11,0.29,0.20,-2.11,0.29,0.20
destroy,-3.73,2.28,1.84,-3.73,2.28,1.84
detain,-0.91,1.81,0.47,-0.91,1.81,0.47
deter,-1.09,1.05,0.24,-1.09,1.05,0.24
detest,-1.97,0.26,0.48,-1.97,0.26,0.48
diagnose,1.21,2.07,-0.50,1.21,2.07,-0.50
dicker_with,-1.17,-0.04,0.91,-1.17,-0.04,0.91
diddle,-0.86,0.46,1.07,-0.86,0.46,1.07
dine_with,2.38,1.21,0.07,2.38,1.21,0.07
direct,1.59,1.94,1.02,1.59,1.94,1.02
disable,-2.70,0.75,0.77,-2.70,0.75,0.77
disagree_with,0.11,1.26,1.09,0.11,1.26,1.09
disappoint,-2.75,-0.20,-1.01,-2.75,-0.20,-1.01
disapprove_of,-0.81,1.10,-0.03,-0.81,1.10,-0.03
disbelieve,-0.72,0.74,-0.40,-0.72,0.74,-0.40
discharge,-0.46,1.54,0.20,-0.46,1.54,0.20
discipline,0.92,1.90,1.07,0.92,1.90,1.07
discomfort,-2.29,0.59,0.52,-2.29,0.59,0.52
disconcert,-1.40,0.44,0.01,-1.40,0.44,0.01
discourage,-2.55,0.05,0.22,-2.55,0.05,0.22
discredit,-1.79,1.24,0.64,-1.79,1.24,0.64
discriminate_against,-3.49,-0.05,0.29,-3.49,-0.05,0.29
discuss_something_with,1.63,1.40,0.23,1.63,1.40,0.23
disenchant,-1.34,0.42,-0.01,-1.34,0.42,-0.01
disgrace,-2.50,0.66,0.44,-2.50,0.66,0.44
disillusion,-1.73,1.09,0.37,-1.73,1.09,0.37
dislike,-1.19,0.47,-0.17,-1.19,0.47,-0.17
dismay,-1.88,0.26,-0.01,-1.88,0.26,-0.01
dismiss,-1.68,1.18,0.35,-1.68,1.18,0.35
disobey,-1.39,0.88,0.59,-1.39,0.88,0.59
disparage,-2.27,0.44,0.31,-2.27,0.44,0.31
displease,-1.82,0.06,0.22,-1.82,0.06,0.22
dispute,-0.10,1.32,1.54,-0.10,1.32,1.54
disqualify,-1.13,1.50,0.76,-1.13,1.50,0.76
disregard,-1.94,0.11,-0.66,-1.94,0.11,-0.66
disrespect,-3.10,0.26,0.95,-3.10,0.26,0.95
dissuade,0.03,1.54,0.40,0.03,1.54,0.40
distract,-0.94,1.05,1.27,-0.94,1.05,1.27
distress,-2.13,0.85,0.93,-2.13,0.85,0.93
distrust,-1.45,0.80,-0.60,-1.45,0.80,-0.60
disturb,-2.12,0.86,1.54,-2.12,0.86,1.54
divorce,-2.02,1.16,0.22,-2.02,1.16,0.22
dominate,-1.39,2.37,1.78,-1.39,2.37,1.78
dote_on,0.64,0.39,0.10,0.64,0.39,0.10
double_cross,-2.95,1.04,0.67,-2.95,1.04,0.67
doubt,-0.96,0.43,-0.45,-0.96,0.43,-0.45
draw_near_to,1.55,1.08,-0.82,1.55,1.08,-0.82
dress,1.29,1.11,-0.25,1.29,1.11,-0.25
drink_to,1.19,1.05,1.52,1.19,1.05,1.52
drink_with,0.90,0.69,1.02,0.90,0.69,1.02
drive_out,-1.35,1.33,1.09,-1.35,1.33,1.09
drone_on_at,-2.06,-0.40,-0.10,-2.06,-0.40,-0.10
drug,-3.36,0.99,-0.46,-3.36,0.99,-0.46
dupe,-2.40,0.78,0.39,-2.40,0.78,0.39
eat_with,2.71,1.25,1.00,2.71,1.25,1.00
educate,3.34,3.25,0.23,3.34,3.25,0.23
elbow,-1.66,0.44,1.02,-1.66,0.44,1.02
elect,1.86,2.75,1.76,1.86,2.75,1.76
elude,-0.48,0.30,-0.63,-0.48,0.30,-0.63
embarrass,-2.36,0.95,1.45,-2.36,0.95,1.45
embezzle_from,-3.13,0.69,-0.36,-3.13,0.69,-0.36
embrace,3.13,2.49,-0.82,3.13,2.49,-0.82
employ,2.43,2.52,0.21,2.43,2.52,0.21
emulate,0.70,0.57,0.12,0.70,0.57,0.12
enchant,1.56,2.00,-0.02,1.56,2.00,-0.02
encourage,3.44,2.90,1.23,3.44,2.90,1.23
endanger,-3.21,1.13,1.22,-3.21,1.13,1.22
endorse,1.81,1.72,1.02,1.81,1.72,1.02
endure,0.38,0.64,-1.06,0.38,0.64,-1.06
engage,1.79,1.97,1.17,1.79,1.97,1.17
enjoy,2.94,1.99,0.54,2.94,1.99,0.54
enrage,-2.34,1.63,1.95,-2.34,1.63,1.95
enrapture,0.18,1.89,0.55,0.18,1.89,0.55
enslave,-3.87,2.18,1.38,-3.87,2.18,1.38
ensnare,-1.66,1.17,0.55,-1.66,1.17,0.55
entertain,2.21,1.63,1.92,2.21,1.63,1.92
enthrall,1.69,2.05,1.35,1.69,2.05,1.35
entice,0.16,1.64,0.09,0.16,1.64,0.09
entrap,-2.06,1.00,0.47,-2.06,1.00,0.47
entreat,0.89,0.71,-0.06,0.89,0.71,-0.06
entrust,2.34,2.22,-0.63,2.34,2.22,-0.63
envy,-2.37,-0.87,-0.47,-2.37,-0.87,-0.47
escape,1.55,1.80,0.42,1.55,1.80,0.42
escort,1.47,1.13,0.18,1.47,1.13,0.18
esteem,2.39,1.97,0.69,2.39,1.97,0.69
evade,-0.86,-0.25,-0.32,-0.86,-0.25,-0.32
evaluate,0.53,1.47,-0.39,0.53,1.47,-0.39
evict,-1.90,1.95,0.93,-1.90,1.95,0.93
exalt,0.72,1.08,1.08,0.72,1.08,1.08
examine,0.77,1.07,-1.11,0.77,1.07,-1.11
excite,2.40,2.10,2.47,2.40,2.10,2.47
exclude,-2.56,0.45,-0.29,-2.56,0.45,-0.29
excuse,1.32,1.10,-0.44,1.32,1.10,-0.44
execute,-2.50,2.56,1.22,-2.50,2.56,1.22
exhaust,-0.76,0.89,1.12,-0.76,0.89,1.12
exhibit,-0.73,0.47,0.49,-0.73,0.47,0.49
exile,-1.99,2.08,0.71,-1.99,2.08,0.71
exonerate,1.11,2.22,0.64,1.11,2.22,0.64
exorcise,-0.63,1.44,1.74,-0.63,1.44,1.74
expel,-1.95,2.49,1.38,-1.95,2.49,1.38
experience,2.20,1.84,0.03,2.20,1.84,0.03
explain_something_to,2.41,2.00,0.01,2.41,2.00,0.01
exploit,-2.99,1.40,0.87,-2.99,1.40,0.87
expose,-1.37,1.42,1.28,-1.37,1.42,1.28
exterminate,-3.06,2.68,1.80,-3.06,2.68,1.80
extol,0.19,0.89,0.84,0.19,0.89,0.84
extort,-2.47,1.41,0.54,-2.47,1.41,0.54
eye,-0.57,0.23,-0.71,-0.57,0.23,-0.71
fail,-2.51,0.04,-0.09,-2.51,0.04,-0.09
fall_in_love_with,3.04,2.54,0.53,3.04,2.54,0.53
favor,0.60,1.20,0.27,0.60,1.20,0.27
fear,-2.56,-0.96,-0.71,-2.56,-0.96,-0.71
feed_something_to,2.95,2.25,0.01,2.95,2.25,0.01
fib_to,-1.98,0.35,0.04,-1.98,0.35,0.04
fight,-2.08,0.90,2.62,-2.08,0.90,2.62
financially_back,1.89,2.34,-0.11,1.89,2.34,-0.11
find,1.90,1.85,0.74,1.90,1.85,0.74
fine,-1.10,1.43,0.51,-1.10,1.43,0.51
fire_from_a_job,-1.12,1.96,0.64,-1.12,1.96,0.64
fix,1.37,2.15,-0.09,1.37,2.15,-0.09
flatter,1.90,1.59,0.87,1.90,1.59,0.87
flee,-0.48,0.12,1.04,-0.48,0.12,1.04
flirt_with,1.81,1.58,0.60,1.81,1.58,0.60
flog,-2.47,1.27,2.03,-2.47,1.27,2.03
flunk,-1.59,1.80,-0.32,-1.59,1.80,-0.32
fluster,-0.32,1.20,0.81,-0.32,1.20,0.81
foil,-0.67,1.15,0.52,-0.67,1.15,0.52
